SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.01810000, -0.73859996, 0.01790000, -0.67359996, 0.00000000, 0.00300000, 0.01500000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0000, 0, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.62889999, 0.76699996, 0.12310000, 0.02990000, -0.00700000, 0.00200000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.01820000, -0.73869997, 0.01790000, -0.67350000, 0.00100000, 0.00800000, -0.00700000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.01800000, -0.73890001, 0.01810000, -0.67329997, 0.00100000, 0.00400000, -0.00200000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0100, 1, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.62889999, 0.76699996, 0.12320000, 0.02990000, -0.00400000, 0.00000000, 0.00200000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.01800000, -0.73899996, 0.01820000, -0.67309999, 0.00200000, -0.00400000, 0.01700000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.01830000, -0.73899996, 0.01800000, -0.67309999, -0.00300000, 0.00000000, 0.01100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0200, 2, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.62900001, 0.76690000, 0.12329999, 0.02980000, -0.00300000, -0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.01850000, -0.73920000, 0.01780000, -0.67289996, -0.00700000, 0.00800000, -0.00300000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0300, 3, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.62900001, 0.76690000, 0.12329999, 0.02970000, -0.00400000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
